Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP
Gyökeres,Arsenal,FWD,8.8,52,OK,5.91,11.0,1.0,52.0
Isidor,Sunderland,FWD,5.3,50,DOUBT,9.43,3.0,1.0,50.0
Wilson,West Ham,FWD,5.8,50,OK,8.62,7.0,1.0,50.0
Evanilson,Bournemouth,FWD,7.0,49,OK,7.0,11.0,1.0,49.0
Kroupi.Jr,Bournemouth,FWD,4.6,41,OK,8.91,1.0,1.0,41.0
Šeško,Man Utd,FWD,7.2,40,OK,5.56,40.0,1.0,40.0
Barry,Everton,FWD,5.7,35,OK,6.14,10.0,1.0,35.0
Strand Larsen,Wolves,FWD,6.1,32,OK,5.25,2.0,1.0,32.0
Beto,Everton,FWD,5.0,31,OK,6.2,31.0,1.0,31.0
Brobbey,Sunderland,FWD,5.5,27,OK,4.91,3.0,1.0,27.0
Zirkzee,Man Utd,FWD,5.8,28,OK,4.83,10.0,1.0,28.0
Toti,Wolves,FWD,5.4,28,OK,5.19,8.0,1.0,28.0
Mayenda,Sunderland,FWD,5.2,22,OK,4.23,5.0,1.0,22.0
Kolo Muani,Spurs,FWD,6.9,21,OK,3.04,7.0,1.0,21.0
Kostoulas,Brighton,FWD,4.8,18,OK,3.75,7.0,1.0,18.0
Marc Guiu,Chelsea,FWD,4.2,12,OK,2.86,0.0,1.0,12.0
Füllkrug,West Ham,FWD,5.6,12,OK,2.14,0.0,1.0,12.0
Enes Ünal,Bournemouth,FWD,5.4,11,OK,2.04,2.0,1.0,11.0
Wissa,Newcastle,FWD,7.3,9,OK,1.23,7.0,1.0,9.0
Kalimuendo,Nott'm Forest,FWD,6.0,8,OK,1.33,1.0,1.0,8.0
Havertz,Arsenal,FWD,7.3,1,OK,0.14,0.0,1.0,1.0
Scarlett,Spurs,FWD,4.3,1,OK,0.23,1.0,1.0,1.0
Casey,Man City,FWD,4.5,0,OK,0.0,0.0,1.0,0.0
Graham,Everton,FWD,4.5,0,OK,0.0,0.0,1.0,0.0
