Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Alderete,Sunderland,DEF,4.1,49,OK,11.95,4.0,1.0,49.0,SUN,1173.4666666666667,1251.3999999999999,1251.3999999999999,0.04
Pedro Porro,Spurs,DEF,5.4,48,OK,8.89,2.0,1.0,48.0,TOT,1149.9333333333334,1208.7333333333333,1208.7333333333333,0.04
Thiaw,Newcastle,DEF,5.0,47,OK,9.4,17.0,1.0,47.0,NEW,1105.2,1171.5333333333335,1171.5333333333335,0.04
Konsa,Aston Villa,DEF,4.4,46,OK,10.45,11.0,1.0,46.0,AVL,1198.6666666666667,1194.3999999999999,1194.3999999999999,0.04
Tete,Fulham,DEF,4.5,44,OK,9.78,12.0,1.0,44.0,FUL,1133.7333333333331,1154.6666666666667,1154.6666666666667,0.04
Livramento,Newcastle,DEF,4.9,44,OK,8.98,5.0,1.0,44.0,NEW,1105.2,1171.5333333333335,1171.5333333333335,0.04
Hume,Sunderland,DEF,4.5,44,OK,9.78,2.0,1.0,44.0,SUN,1173.4666666666667,1251.3999999999999,1251.3999999999999,0.04
Gusto,Chelsea,DEF,4.9,43,OK,8.78,3.0,1.0,43.0,CHE,1175.4666666666667,1175.533333333333,1175.533333333333,0.04
Bassey,Fulham,DEF,4.5,43,OK,9.56,6.0,1.0,43.0,FUL,1133.7333333333331,1154.6666666666667,1154.6666666666667,0.04
De Ligt,Man Utd,DEF,5.0,43,OK,8.6,2.0,1.0,43.0,MUN,1120.7333333333333,1174.466666666667,1174.466666666667,0.04
Hartman,Burnley,DEF,4.0,42,OK,10.5,5.0,1.0,42.0,BUR,1163.8,1171.8,1171.8,0.04
N.Williams,Nott'm Forest,DEF,4.7,42,OK,8.94,9.0,1.0,42.0,NFO,1164.5333333333335,1176.6666666666667,1176.6666666666667,0.04
Saliba,Arsenal,DEF,6.0,41,OK,6.83,0.0,1.0,41.0,ARS,1139.4666666666665,1165.8,1165.8,0.04
Gvardiol,Man City,DEF,5.8,41,OK,7.07,6.0,1.0,41.0,MCI,1127.7333333333333,1160.7333333333333,1160.7333333333333,0.04
Van den Berg,Brentford,DEF,4.5,40,OK,8.89,3.0,1.0,40.0,BRE,1123.7333333333333,1172.3333333333333,1172.3333333333333,0.03
O'Brien,Everton,DEF,4.9,40,OK,8.16,6.0,1.0,40.0,EVE,1180.4666666666667,1166.1333333333334,1166.1333333333334,0.03
Dalot,Man Utd,DEF,4.4,40,DOUBT,9.09,40.0,1.0,40.0,MUN,1120.7333333333333,1174.466666666667,1174.466666666667,0.03
Pau,Aston Villa,DEF,4.3,39,OK,9.07,10.0,1.0,39.0,AVL,1198.6666666666667,1194.3999999999999,1194.3999999999999,0.03
Estève,Burnley,DEF,3.9,38,OK,9.74,7.0,1.0,38.0,BUR,1163.8,1171.8,1171.8,0.03
Collins,Brentford,DEF,4.9,38,OK,7.76,5.0,1.0,38.0,BRE,1123.7333333333333,1172.3333333333333,1172.3333333333333,0.03
Kayode,Brentford,DEF,4.5,38,OK,8.44,3.0,1.0,38.0,BRE,1123.7333333333333,1172.3333333333333,1172.3333333333333,0.03
Diouf,West Ham,DEF,4.2,38,OK,9.05,4.0,1.0,38.0,WHU,1153.6000000000001,1218.6000000000001,1218.6000000000001,0.03
Dunk,Brighton,DEF,4.5,36,OK,8.0,6.0,1.0,36.0,BHA,1152.3999999999999,1196.9333333333332,1196.9333333333332,0.03
Diakité,Bournemouth,DEF,4.4,35,OK,7.95,5.0,1.0,35.0,BOU,1136.4666666666667,1189.4666666666665,1189.4666666666665,0.03
Walker,Burnley,DEF,4.4,34,OK,7.73,5.0,1.0,34.0,BUR,1163.8,1171.8,1171.8,0.03
Bogle,Leeds,DEF,4.4,34,OK,7.73,34.0,1.0,34.0,LEE,1172.3333333333333,1224.6000000000001,1224.6000000000001,0.03
Milenković,Fulham,DEF,5.2,34,OK,6.54,34.0,1.0,34.0,FUL,1133.7333333333331,1154.6666666666667,1154.6666666666667,0.03
Mykolenko,Everton,DEF,4.9,33,OK,6.73,33.0,1.0,33.0,EVE,1180.4666666666667,1166.1333333333334,1166.1333333333334,0.03
Gudmundsson,Leeds,DEF,3.9,33,OK,8.46,33.0,1.0,33.0,LEE,1172.3333333333333,1224.6000000000001,1224.6000000000001,0.03
Maguire,Man Utd,DEF,4.4,33,DOUBT,7.5,33.0,1.0,33.0,MUN,1120.7333333333333,1174.466666666667,1174.466666666667,0.03
Rice,Arsenal,MID,7.1,82,DOUBT,11.55,11.0,1.0,82.0,ARS,1139.4666666666665,1165.8,1139.4666666666665,0.07
Semenyo,Bournemouth,MID,7.7,80,OK,10.39,5.0,1.0,80.0,BOU,1136.4666666666667,1189.4666666666665,1136.4666666666667,0.07
Bruno G.,Newcastle,MID,6.8,71,OK,10.44,11.0,1.0,71.0,NEW,1105.2,1171.5333333333335,1105.2,0.06
Neto,Chelsea,MID,7.2,68,OK,9.44,8.0,1.0,68.0,CHE,1175.4666666666667,1175.533333333333,1175.4666666666667,0.06
B.Fernandes,Man Utd,MID,9.0,67,OK,7.44,15.0,1.0,67.0,MUN,1120.7333333333333,1174.466666666667,1120.7333333333333,0.06
Minteh,Brighton,MID,6.3,66,OK,10.48,5.0,1.0,66.0,BHA,1152.3999999999999,1196.9333333333332,1152.3999999999999,0.06
Eze,Arsenal,MID,7.8,65,OK,8.33,4.0,1.0,65.0,ARS,1139.4666666666665,1165.8,1139.4666666666665,0.06
Foden,Man City,MID,8.4,65,OK,7.74,65.0,1.0,65.0,MCI,1127.7333333333333,1160.7333333333333,1127.7333333333333,0.06
Saka,Arsenal,MID,10.1,64,OK,6.34,15.0,1.0,64.0,ARS,1139.4666666666665,1165.8,1139.4666666666665,0.06
Mbeumo,Man Utd,MID,8.5,64,OK,7.53,3.0,1.0,64.0,MUN,1120.7333333333333,1174.466666666667,1120.7333333333333,0.06
