Icon,Surname,Full_Info,Team,Appearances,Time Played - Exact,Goals From Penalties,Goals From Set Plays,Headed Goal Attempts From Set Plays,Shots From Set Plays,Corners,Corners - Successful,Crosses From Free Kick,Crosses From Free Kick - Successful,Mins,Mins_90s,Corners_per_90,FK_Crosses_per_90,SetPieceShots_per_90,Club
,Doherty,"Doherty Matt Doherty (Wolverhampton Wanderers, Defender)",WOL,11,781,0,0,0,3,0,0,0,0,781,8.677777777777777,0.0,0.0,0.35,WOL
,Doku,"Doku Jéremy Doku (Manchester City, Midfielder)",MCI,30,1837,0,2,0,6,1,0,0,0,1837,20.41111111111111,0.05,0.0,0.29,Manchester City
,Nicolás Domínguez,"Nicolás Domínguez Nicolás Domínguez (Nottingham Forest, Midfielder)",NFO,27,1216,0,1,4,9,4,2,0,0,1216,13.511111111111111,0.3,0.0,0.67,Nottingham Forest
,Donovan,"Donovan Romelle Donovan (Brentford, Midfielder)",BRE,4,68,0,0,0,1,0,0,0,0,68,0.7555555555555555,0.0,0.0,1.32,Brentford
,Dorgu,"Dorgu Patrick Dorgu (Manchester United, Defender)",MUN,26,1509,0,2,1,4,0,0,0,0,1509,16.766666666666666,0.0,0.0,0.24,Manchester United
,Igor Julio,"Igor Julio Igor Julio dos Santos de Paulo (Brighton and Hove Albion, Defender)",BHA,4,122,0,0,0,0,0,0,0,0,122,1.3555555555555556,0.0,0.0,0.0,Brighton and Hove Albion
,Gabriel Magalhães,"Gabriel Magalhães Gabriel dos Santos Magalhães (Arsenal, Defender)",ARS,32,2754,0,3,15,23,0,0,0,0,2754,30.6,0.0,0.0,0.75,Arsenal
,Dowman,"Dowman Max Dowman (Arsenal, Midfielder)",ARS,6,186,0,0,0,1,2,0,0,0,186,2.066666666666667,0.97,0.0,0.48,Arsenal
,Dragusin,"Dragusin Radu Dragusin (Tottenham Hotspur, Defender)",TOT,10,543,0,0,2,4,0,0,0,0,543,6.033333333333333,0.0,0.0,0.66,Tottenham Hotspur
,Dunk,"Dunk Lewis Dunk (Brighton and Hove Albion, Defender)",BHA,33,2844,0,1,15,23,0,0,0,0,2844,31.6,0.0,0.0,0.73,Brighton and Hove Albion
,Edozie,"Edozie Tom Edozie (Wolverhampton Wanderers, Midfielder)",WOL,3,25,0,0,0,0,0,0,0,0,25,0.2777777777777778,0.0,0.0,0.0,WOL
,Marcus Edwards,"Marcus Edwards Marcus Edwards (Burnley, Midfielder)",BUR,23,1118,0,0,0,5,5,1,0,0,1118,12.422222222222222,0.4,0.0,0.4,BUR
,Ekdal,"Ekdal Hjalmar Ekdal (Burnley, Defender)",BUR,19,1550,0,0,3,6,0,0,0,0,1550,17.22222222222222,0.0,0.0,0.35,BUR
,Ekitiké,"Ekitiké Hugo Ekitiké (Liverpool, Forward)",LIV,28,1829,0,2,6,8,0,0,0,0,1829,20.322222222222223,0.0,0.0,0.39,Liverpool
,Elanga,"Elanga Anthony Elanga (Newcastle United, Midfielder)",NEW,32,1427,0,0,0,2,15,1,0,0,1427,15.855555555555556,0.95,0.0,0.13,Newcastle United
,Elliott,"Elliott Harvey Elliott (Aston Villa, Midfielder)",AVL,5,140,0,0,0,2,0,0,0,0,140,1.5555555555555556,0.0,0.0,1.29,Aston Villa
,Endo,"Endo Wataru Endo (Liverpool, Midfielder)",LIV,8,210,0,0,0,0,0,0,0,0,210,2.3333333333333335,0.0,0.0,0.0,Liverpool
,Mateus Fernandes,"Mateus Fernandes Mateus Gonçalo Espanha Fernandes (West Ham United, Midfielder)",WHU,36,3020,0,0,0,7,13,4,11,2,3020,33.55555555555556,0.39,0.33,0.21,WHU
,Esse,"Esse Romain Esse (Crystal Palace, Midfielder)",CRY,4,64,0,0,0,0,0,0,0,0,64,0.7111111111111111,0.0,0.0,0.0,Crystal Palace
,Esteve,"Esteve Maxime Esteve (Burnley, Defender)",BUR,34,2924,0,0,6,10,0,0,0,0,2924,32.48888888888889,0.0,0.0,0.31,BUR
,Eze,"Eze Eberechi Eze (Arsenal, Midfielder)",ARS,33,1933,0,2,0,23,3,0,2,0,1933,21.477777777777778,0.14,0.09,1.07,Arsenal
,Fernández,"Fernández (Enzo) Enzo Fernández (Chelsea, Midfielder)",CHE,36,3115,2,1,2,21,55,9,4,1,3115,34.611111111111114,1.59,0.12,0.61,Chelsea
,Flemming,"Flemming Zian Flemming (Burnley, Forward)",BUR,29,1805,2,1,7,15,0,0,0,0,1805,20.055555555555557,0.0,0.0,0.75,BUR
,Jack Fletcher,"Jack Fletcher Jack Fletcher (Manchester United, Midfielder)",MUN,3,112,0,0,0,1,0,0,0,0,112,1.2444444444444445,0.0,0.0,0.8,Manchester United
,Foden,"Foden Phil Foden (Manchester City, Midfielder)",MCI,33,2142,0,1,0,8,92,36,7,0,2142,23.8,3.87,0.29,0.34,Manchester City
,Fofana,"Fofana (Wesley) Wesley Fofana (Chelsea, Defender)",CHE,25,1746,0,0,6,8,0,0,0,0,1746,19.4,0.0,0.0,0.41,Chelsea
,Foster,"Foster Lyle Foster (Burnley, Forward)",BUR,26,1415,0,0,1,4,0,0,0,0,1415,15.722222222222221,0.0,0.0,0.25,BUR
,Casemiro,"Casemiro Carlos Henrique Jose Francisco Venancio (Manchester United, Midfielder)",MUN,34,2568,0,8,22,25,0,0,0,0,2568,28.533333333333335,0.0,0.0,0.88,Manchester United
,Frimpong,"Frimpong Jeremie Frimpong (Liverpool, Defender)",LIV,21,1103,0,0,0,1,0,0,0,0,1103,12.255555555555556,0.0,0.0,0.08,Liverpool
,Füllkrug,"Füllkrug Niclas Füllkrug (West Ham United, Forward)",WHU,8,422,0,0,5,5,0,0,0,0,422,4.688888888888889,0.0,0.0,1.07,WHU
,Gakpo,"Gakpo Cody Gakpo (Liverpool, Midfielder)",LIV,36,2742,0,0,3,11,33,5,0,0,2742,30.466666666666665,1.08,0.0,0.36,Liverpool
,Gallagher,"Gallagher Conor Gallagher (Tottenham Hotspur, Midfielder)",TOT,16,1186,0,1,1,7,0,0,0,0,1186,13.177777777777777,0.0,0.0,0.53,Tottenham Hotspur
,García,"García Andrés García (Aston Villa, Defender)",AVL,6,114,0,0,0,0,0,0,0,0,114,1.2666666666666666,0.0,0.0,0.0,Aston Villa
,Garnacho,"Garnacho Alejandro Garnacho Ferreyra (Chelsea, Midfielder)",CHE,24,1296,0,0,0,5,0,0,0,0,1296,14.4,0.0,0.0,0.35,Chelsea
,Garner,"Garner James Garner (Everton, Midfielder)",EVE,38,3413,0,0,0,26,110,24,36,13,3413,37.922222222222224,2.9,0.95,0.69,Everton
,Rúben Dias,"Rúben Dias Rúben Santos Gato Alves Dias (Manchester City, Defender)",MCI,26,2159,0,1,5,6,0,0,0,0,2159,23.988888888888887,0.0,0.0,0.25,Manchester City
,Geertruida,"Geertruida Lutsharel Geertruida (Sunderland, Defender)",SUN,28,1742,0,0,0,5,0,0,0,0,1742,19.355555555555554,0.0,0.0,0.26,Sunderland
,George,"George Tyrique George (Everton, Midfielder)",EVE,15,441,0,0,0,2,0,0,0,0,441,4.9,0.0,0.0,0.41,Everton
,Gibbs-White,"Gibbs-White Morgan Gibbs-White (Nottingham Forest, Midfielder)",NFO,37,3090,1,4,5,19,1,0,1,0,3090,34.333333333333336,0.03,0.03,0.55,Nottingham Forest
,Gittens,"Gittens Jamie Gittens (Chelsea, Midfielder)",CHE,16,551,0,0,0,3,0,0,0,0,551,6.122222222222222,0.0,0.0,0.49,Chelsea
,Gnonto,"Gnonto Degnand Wilfried Gnonto (Leeds United, Midfielder)",LEE,23,651,0,0,0,4,1,0,0,0,651,7.233333333333333,0.14,0.0,0.55,Leeds United
,Angel Gomes,"Angel Gomes Angel Gomes (Wolverhampton Wanderers, Midfielder)",WOL,12,481,0,0,0,2,3,1,5,0,481,5.344444444444444,0.56,0.94,0.37,WOL
,Rodrigo Gomes,"Rodrigo Gomes Rodrigo Martins Gomes (Wolverhampton Wanderers, Defender)",WOL,22,1008,0,0,1,2,0,0,0,0,1008,11.2,0.0,0.0,0.18,WOL
,Toti,"Toti Toti António Gomes (Wolverhampton Wanderers, Defender)",WOL,19,1430,0,0,1,4,0,0,0,0,1430,15.88888888888889,0.0,0.0,0.25,WOL
,Beto,"Beto Norberto Bercique Gomes Betuncal (Everton, Forward)",EVE,37,1649,0,2,9,11,0,0,0,0,1649,18.322222222222223,0.0,0.0,0.6,Everton
,João Gomes,"João Gomes João Victor Gomes da Silva (Wolverhampton Wanderers, Midfielder)",WOL,35,2836,0,0,0,7,0,0,0,0,2836,31.511111111111113,0.0,0.0,0.22,WOL
,Gómez,"Gómez Diego Gómez (Brighton and Hove Albion, Midfielder)",BHA,32,2134,0,0,1,5,1,0,0,0,2134,23.711111111111112,0.04,0.0,0.21,Brighton and Hove Albion
