Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Ayari,Brighton,MID,4.8,77,OK,16.04,11.0,1.0,77.0,BHA,1154.6666666666667,1153.428571428571,1154.6666666666667,0.07,2.75,0.07573614318706698
Caicedo,Chelsea,MID,5.7,76,OK,13.33,76.0,1.0,76.0,CHE,1070.5238095238094,1139.952380952381,1070.5238095238094,0.07,0.0,0.12068858146879588
Dewsbury-Hall,Everton,MID,4.9,76,OK,15.51,76.0,1.0,76.0,EVE,1142.904761904762,1188.9047619047617,1142.904761904762,0.07,1.5,0.11435773509437105
Anthony,Burnley,MID,5.0,73,OK,14.6,4.0,1.0,73.0,BUR,1133.047619047619,1184.47619047619,1133.047619047619,0.06,1.25,0.06800243758930823
Ampadu,Leeds,MID,4.9,72,OK,14.69,72.0,1.0,72.0,LEE,1239.285714285714,1192.2857142857142,1239.285714285714,0.06,0.0,0.09876657060518734
Doku,Man City,MID,6.4,72,DOUBT,11.25,3.0,1.0,72.0,MCI,1173.5238095238094,1210.3809523809523,1173.5238095238094,0.06,2.5,0.06527349456257102
McGinn,Aston Villa,MID,5.4,71,OK,13.15,1.0,1.0,71.0,AVL,1133.095238095238,1192.047619047619,1133.095238095238,0.06,2.0,0.06504307627652868
Yarmoliuk,Brentford,MID,5.0,70,OK,14.0,4.0,1.0,70.0,BRE,1205.2857142857144,1203.333333333333,1205.2857142857144,0.06,0.0,0.060400616332819713
Barnes,Newcastle,MID,6.1,70,OK,11.48,5.0,1.0,70.0,NEW,1176.428571428571,1258.7142857142858,1176.428571428571,0.06,0.0,0.062477231329690366
Eze,Arsenal,MID,7.3,68,OK,9.32,1.0,1.0,68.0,ARS,1131.809523809524,1182.190476190476,1131.809523809524,0.06,0.0,0.06069925950858296
Ugochukwu,Burnley,MID,5.0,67,OK,13.4,6.0,1.0,67.0,BUR,1133.047619047619,1184.47619047619,1133.047619047619,0.06,0.0,0.06283937127006808
Merino,Arsenal,MID,5.5,66,OK,12.0,66.0,1.0,66.0,ARS,1131.809523809524,1182.190476190476,1131.809523809524,0.06,0.0,0.0991332884550656
O.Dango,Brentford,MID,5.8,66,OK,11.38,66.0,1.0,66.0,BRE,1205.2857142857144,1203.333333333333,1205.2857142857144,0.05,0.0,0.09308996088657104
Georginio,Brighton,MID,5.6,62,OK,11.07,2.0,1.0,62.0,BHA,1154.6666666666667,1153.428571428571,1154.6666666666667,0.05,0.0,0.05490762124711316
Florentino,Burnley,MID,5.0,61,OK,12.2,61.0,1.0,61.0,BUR,1133.047619047619,1184.47619047619,1133.047619047619,0.05,0.0,0.09152307304362443
Damsgaard,Brentford,MID,5.7,61,OK,10.7,61.0,1.0,61.0,BRE,1205.2857142857144,1203.333333333333,1205.2857142857144,0.05,4.0,0.08935640630555883
Haaland,Man City,FWD,14.1,166,OK,11.77,3.0,1.1,182.6,MCI,1173.5238095238094,1210.3809523809523,1173.5238095238094,0.16,6.25,0.16271506248985554
Thiago,Brentford,FWD,6.5,124,OK,19.08,4.0,1.0,124.0,BRE,1205.2857142857144,1203.333333333333,1205.2857142857144,0.1,5.0,0.10935166528386867
Bowen,West Ham,FWD,7.6,105,OK,13.82,15.0,1.0,105.0,WHU,1156.952380952381,1186.6666666666663,1156.952380952381,0.09,4.5,0.10372077708264735
João Pedro,Chelsea,FWD,7.2,104,OK,14.44,20.0,1.0,104.0,CHE,1070.5238095238094,1139.952380952381,1070.5238095238094,0.1,0.0,0.11022641341577333
Calvert-Lewin,Leeds,FWD,6.0,93,OK,15.5,12.0,1.0,93.0,LEE,1239.285714285714,1192.2857142857142,1239.285714285714,0.08,0.0,0.081821325648415
Watkins,Aston Villa,FWD,8.8,91,DOUBT,10.34,10.0,1.0,91.0,AVL,1133.095238095238,1192.047619047619,1133.095238095238,0.08,5.0,0.0909014498844295
Ekitiké,Liverpool,FWD,8.8,87,OK,9.89,3.0,1.0,87.0,LIV,1179.857142857143,1199.3333333333333,1179.857142857143,0.07,0.0,0.0755176171449328
Mateta,Crystal Palace,FWD,7.5,84,OK,11.2,4.0,1.0,84.0,CRY,1109.6190476190477,1173.142857142857,1109.6190476190477,0.08,5.0,0.08273109604325808
