Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Mykolenko,Everton,DEF,4.9,56,OK,11.43,2.0,1.0,56.0,EVE,1159.47619047619,1179.904761904762,1179.904761904762,0.05,0.0,0.048647994188392926
Bassey,Fulham,DEF,4.4,55,OK,12.5,55.0,1.0,55.0,FUL,1132.5238095238096,1203.1904761904764,1203.1904761904764,0.05,0.0,0.0777100565955594
Spence,Spurs,DEF,4.3,53,OK,12.33,2.0,1.0,53.0,TOT,1106.904761904762,1152.6666666666667,1152.6666666666667,0.05,0.0,0.04719491035280508
Van den Berg,Brentford,DEF,4.5,52,OK,11.56,0.0,1.0,52.0,BRE,1184.6666666666667,1184.4761904761904,1184.4761904761904,0.04,0.0,0.04390126236230603
Kerkez,Bournemouth,DEF,5.6,52,OK,9.29,52.0,1.0,52.0,BOU,1144.190476190476,1200.6666666666667,1200.6666666666667,0.04,0.0,0.07362576346474181
Milenković,Fulham,DEF,5.1,52,OK,10.2,5.0,1.0,52.0,FUL,1132.5238095238096,1203.1904761904764,1203.1904761904764,0.04,0.0,0.04612735979736415
Dorgu,Man Utd,DEF,4.2,51,OK,12.14,6.0,1.0,51.0,MUN,1221.857142857143,1243.333333333333,1243.333333333333,0.04,0.0,0.04439678284182307
De Cuyper,Brighton,DEF,4.3,49,OK,11.4,2.0,1.0,49.0,BHA,1144.7142857142858,1174.9999999999998,1174.9999999999998,0.04,0.75,0.043531914893617026
Gudmundsson,Leeds,DEF,3.8,49,OK,12.89,2.0,1.0,49.0,LEE,1149.857142857143,1147.904761904762,1147.904761904762,0.04,0.75,0.04455944578113333
Livramento,Newcastle,DEF,4.9,48,DOUBT,9.8,1.0,1.0,48.0,NEW,1117.857142857143,1181.3333333333333,1181.3333333333333,0.04,0.0,0.04122460496613996
Dunk,Brighton,DEF,4.5,48,OK,10.67,48.0,1.0,48.0,BHA,1144.7142857142858,1174.9999999999998,1174.9999999999998,0.04,0.0,0.06944680851063831
Shaw,Man Utd,DEF,4.5,47,OK,10.44,3.0,1.0,47.0,MUN,1221.857142857143,1243.333333333333,1243.333333333333,0.04,0.0,0.03949061662198392
Hartman,Burnley,DEF,4.0,46,OK,11.5,0.0,1.0,46.0,BUR,1168.095238095238,1239.0,1239.0,0.04,1.5,0.03833736884584342
Bogle,Leeds,DEF,4.4,45,OK,10.23,0.0,1.0,45.0,LEE,1149.857142857143,1147.904761904762,1147.904761904762,0.04,0.0,0.03920185845847507
Diouf,West Ham,DEF,4.0,44,OK,11.0,0.0,1.0,44.0,WHU,1160.0952380952378,1174.6666666666667,1174.6666666666667,0.04,0.0,0.03745743473325766
Rice,Arsenal,MID,6.9,122,OK,17.68,122.0,1.0,122.0,ARS,1128.2857142857142,1184.904761904762,1128.2857142857142,0.11,4.0,0.18736388959230185
Semenyo,Bournemouth,MID,7.4,120,OK,16.22,7.0,1.0,120.0,BOU,1144.190476190476,1200.6666666666667,1144.190476190476,0.1,2.5,0.11134509738638258
Bruno G.,Newcastle,MID,6.8,117,OK,17.21,31.0,1.0,117.0,NEW,1117.857142857143,1181.3333333333333,1117.857142857143,0.1,0.0,0.12407667731629392
B.Fernandes,Man Utd,MID,9.1,106,DOUBT,11.65,4.0,1.0,106.0,MUN,1221.857142857143,1243.333333333333,1221.857142857143,0.09,0.0,0.08904477960949374
Wilson,Fulham,MID,5.9,102,OK,17.29,15.0,1.0,102.0,FUL,1132.5238095238096,1203.1904761904764,1132.5238095238096,0.09,4.5,0.10330908632216287
Rogers,Aston Villa,MID,7.5,101,OK,13.47,8.0,1.0,101.0,AVL,1153.428571428571,1161.0,1153.428571428571,0.09,0.0,0.09242011394599953
Foden,Man City,MID,8.2,100,OK,12.2,4.0,1.0,100.0,MCI,1149.5714285714284,1191.904761904762,1149.5714285714284,0.09,2.0,0.09116440909655774
Saka,Arsenal,MID,10.2,98,OK,9.61,7.0,1.0,98.0,ARS,1128.2857142857142,1184.904761904762,1128.2857142857142,0.09,4.5,0.09518865535578629
Garner,Everton,MID,5.1,95,OK,18.63,10.0,1.0,95.0,EVE,1159.47619047619,1179.904761904762,1159.47619047619,0.08,2.0,0.0896956753870796
Gravenberch,Liverpool,MID,5.7,94,OK,16.49,5.0,1.0,94.0,LIV,1103.190476190476,1165.7619047619046,1103.190476190476,0.09,0.0,0.08838002330901716
Enzo,Chelsea,MID,6.4,92,OK,14.38,12.0,1.0,92.0,CHE,1118.809523809524,1185.190476190476,1118.809523809524,0.08,0.0,0.08973824217918705
Neto,Chelsea,MID,7.1,88,OK,12.39,7.0,1.0,88.0,CHE,1118.809523809524,1185.190476190476,1118.809523809524,0.08,1.5,0.0843753990210683
Xhaka,Sunderland,MID,5.2,88,OK,16.92,6.0,1.0,88.0,SUN,1147.4761904761904,1186.428571428571,1147.4761904761904,0.08,3.25,0.08318255384487697
Stach,Leeds,MID,4.9,87,OK,17.76,87.0,1.0,87.0,LEE,1149.857142857143,1147.904761904762,1149.857142857143,0.08,4.0,0.13210336687787302
Casemiro,Man Utd,MID,5.5,87,OK,15.82,87.0,1.0,87.0,MUN,1221.857142857143,1243.333333333333,1221.857142857143,0.07,0.0,0.12104524728165555
Anderson,Nott'm Forest,MID,5.3,86,OK,16.23,10.0,1.0,86.0,NFO,1226.0000000000002,1204.2380952380952,1226.0000000000002,0.07,1.5,0.07707993474714517
