Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Wharton,Crystal Palace,MID,5.0,76,OK,15.2,76,1.0,76.0,CRY,1118.1904761904764,1116.6666666666665,1118.1904761904764,0.07
Barnes,Newcastle,MID,6.1,76,OK,12.46,76,1.0,76.0,NEW,1244.8095238095236,1307.3333333333335,1244.8095238095236,0.06
Buendia,Aston Villa,MID,5.3,75,OK,14.15,75,1.0,75.0,AVL,1164.6190476190475,1205.8095238095236,1164.6190476190475,0.06
Yarmoliuk,Brentford,MID,5.0,74,OK,14.8,74,1.0,74.0,BRE,1193.5714285714284,1191.9999999999998,1193.5714285714284,0.06
Eze,Arsenal,MID,7.2,72,OK,10.0,72,1.0,72.0,ARS,1143.8095238095239,1161.4761904761904,1143.8095238095239,0.06
Doku,Man City,MID,6.4,72,DOUBT,11.25,72,1.0,72.0,MCI,1139.0,1149.5714285714284,1139.0,0.06
Sarr,Crystal Palace,MID,6.4,71,OK,11.09,71,1.0,71.0,CRY,1118.1904761904764,1116.6666666666665,1118.1904761904764,0.06
Sessegnon,Fulham,MID,5.4,71,OK,13.15,71,1.0,71.0,FUL,1194.238095238095,1199.904761904762,1194.238095238095,0.06
Janelt,Brentford,MID,4.9,69,OK,14.08,69,1.0,69.0,BRE,1193.5714285714284,1191.9999999999998,1193.5714285714284,0.06
Amad,Man Utd,MID,6.2,67,OK,10.81,67,1.0,67.0,MUN,1201.0,1213.4761904761904,1201.0,0.06
Haaland,Man City,FWD,14.9,187,DOUBT,12.55,187,1.1,205.7,MCI,1139.0,1149.5714285714284,1139.0,0.18
Thiago,Brentford,FWD,7.0,133,OK,19.0,133,1.0,133.0,BRE,1193.5714285714284,1191.9999999999998,1193.5714285714284,0.11
João Pedro,Chelsea,FWD,7.7,132,OK,17.14,132,1.0,132.0,CHE,1156.0476190476188,1206.190476190476,1156.0476190476188,0.11
