Surname,Team,Position,Price,TP,Status,PPM,Raw_TP,Raw_Form,Adjusted_Form,Form_Efficiency,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Ballard,Sunderland,DEF,4.9,14,OK,2.86,14,12.0,14.56,0.71,12.0,1.0,14.0,SUN,1141.5238095238094,1196.142857142857,1196.142857142857,0.01,0.0,0.020225008957362952
Meunier,Sunderland,DEF,4.5,14,OK,3.11,14,11.0,13.34,0.65,11.0,1.0,14.0,SUN,1141.5238095238094,1196.142857142857,1196.142857142857,0.01,0.0,0.019511047414307897
Silva,Bournemouth,DEF,5.0,13,OK,2.6,13,10.0,11.99,0.61,10.0,1.0,13.0,BOU,1157.1904761904764,1179.5238095238094,1179.5238095238094,0.01,0.0,0.018136980218005656
F.Kadıoğlu,Brighton,DEF,4.4,13,OK,2.95,13,0.0,0.0,0.0,0.0,1.0,13.0,BHA,1129.952380952381,1159.3333333333333,1159.3333333333333,0.01,0.0,0.011213341000575043
Lacroix,Chelsea,DEF,5.9,13,OK,2.2,13,10.0,11.65,0.56,10.0,1.0,13.0,CHE,1156.5714285714284,1192.9047619047617,1192.9047619047617,0.01,0.0,0.01773402259390843
Elvedi,Leeds,DEF,4.5,13,OK,2.89,13,13.0,15.63,0.78,13.0,1.0,13.0,LEE,1220.6190476190477,1220.9047619047617,1220.9047619047617,0.01,0.0,0.0196092281290222
Kerkez,Liverpool,DEF,5.4,13,OK,2.41,13,0.0,0.0,0.0,0.0,1.0,13.0,LIV,1232.6190476190477,1295.8095238095236,1295.8095238095236,0.01,0.0,0.010032338674114363
Dedić,Newcastle,DEF,4.5,13,OK,2.89,13,13.0,15.5,0.74,13.0,1.0,13.0,NEW,1112.9523809523807,1133.3809523809523,1133.3809523809523,0.01,0.0,0.02104323347758498
Mukiele,Sunderland,DEF,5.4,13,OK,2.41,13,13.0,15.7,0.77,13.0,1.0,13.0,SUN,1141.5238095238094,1196.142857142857,1196.142857142857,0.01,0.0,0.020056132807834706
Mosquera,Arsenal,DEF,5.3,12,OK,2.26,12,12.0,14.55,0.7,12.0,1.0,12.0,ARS,1149.9047619047617,1182.6190476190477,1182.6190476190477,0.01,0.0,0.018759210791222065
